"","run_id","audio_info","emotion","response","gender","msi1","msi2","msi3","msi4","msi5"
"220",19,"001.mp3","anger","0","Female","2","0.5","2","2","0"
"221",19,"121.mp3","happy","0","Female","2","0.5","2","2","0"
"222",19,"121.mp3","sad","9","Female","2","0.5","2","2","0"
"223",19,"121.mp3","tender","0","Female","2","0.5","2","2","0"
"224",19,"121.mp3","fear","100","Female","2","0.5","2","2","0"
"225",19,"121.mp3","anger","100","Female","2","0.5","2","2","0"
"226",19,"061.mp3","happy","75","Female","2","0.5","2","2","0"
"227",19,"061.mp3","sad","85","Female","2","0.5","2","2","0"
"228",19,"061.mp3","tender","75","Female","2","0.5","2","2","0"
"229",19,"061.mp3","fear","80","Female","2","0.5","2","2","0"
"230",19,"061.mp3","anger","0","Female","2","0.5","2","2","0"
"231",19,"091.mp3","happy","0","Female","2","0.5","2","2","0"
"232",19,"091.mp3","sad","59","Female","2","0.5","2","2","0"
"233",19,"091.mp3","tender","73","Female","2","0.5","2","2","0"
"234",19,"091.mp3","fear","100","Female","2","0.5","2","2","0"
"235",19,"091.mp3","anger","89","Female","2","0.5","2","2","0"
"236",19,"031.mp3","happy","63","Female","2","0.5","2","2","0"
"237",19,"031.mp3","sad","70","Female","2","0.5","2","2","0"
"238",19,"031.mp3","tender","72","Female","2","0.5","2","2","0"
"239",19,"031.mp3","fear","70","Female","2","0.5","2","2","0"
"240",19,"031.mp3","anger","0","Female","2","0.5","2","2","0"
