success;trial_type;trial_index;time_elapsed;internal_node_id;run_id;condition;recorded_at;source_code_version;ip;user_agent;device;browser;browser_version;platform;platform_version;rt;stimulus;response;task;timeout;failed_images;failed_audio;failed_video;slider_start
true;fullscreen;0;2460;0.0-0.0;2;1;2023-07-28 12:38:34;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";Macintosh;Safari;16.1;OS X;10_15_7;;;;;;;;;
;html-button-response;1;4144;0.0-1.0;2;1;2023-07-28 12:38:34;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";Macintosh;Safari;16.1;OS X;10_15_7;1678;Welcome to the experiment;0;;;;;;
;html-button-response;2;8510;0.0-2.0;2;1;2023-07-28 12:38:34;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";Macintosh;Safari;16.1;OS X;10_15_7;4363;"<p>In this experiment, you will hear 6 excerpts of varying rhythmic complexity.</p>
        <p> At the end of each track, you must rate the level of your enjoyment.</p>";0;instruction;;;;;
true;preload;3;8512;0.0-3.0;2;1;2023-07-28 12:38:34;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";Macintosh;Safari;16.1;OS X;10_15_7;;;;;false;[];[];[];
;audio-slider-response;4;19536;0.0-4.0-0.0;2;1;2023-07-28 12:38:34;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";Macintosh;Safari;16.1;OS X;10_15_7;10643;mid_complex_1.wav;60;audio_slider;;;;;50
;audio-slider-response;5;32708;0.0-4.0-0.1;2;1;2023-07-28 12:38:34;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";Macintosh;Safari;16.1;OS X;10_15_7;12891;low_complex_1.wav;55;audio_slider;;;;;50
;audio-slider-response;6;43343;0.0-4.0-0.2;2;1;2023-07-28 12:38:34;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";Macintosh;Safari;16.1;OS X;10_15_7;10371;mid_complex_2.wav;67;audio_slider;;;;;50
;audio-slider-response;7;53016;0.0-4.0-0.3;2;1;2023-07-28 12:38:34;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";Macintosh;Safari;16.1;OS X;10_15_7;9456;high_complex_1.wav;47;audio_slider;;;;;50
;audio-slider-response;8;62717;0.0-4.0-0.4;2;1;2023-07-28 12:38:34;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";Macintosh;Safari;16.1;OS X;10_15_7;9344;high_complex_2.wav;43;audio_slider;;;;;50
;audio-slider-response;9;72334;0.0-4.0-0.5;2;1;2023-07-28 12:38:34;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";Macintosh;Safari;16.1;OS X;10_15_7;9392;low_complex_2.wav;50;audio_slider;;;;;50
;html-button-response;10;88213;0.0-5.0;2;1;2023-07-28 12:38:34;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";Macintosh;Safari;16.1;OS X;10_15_7;15876;<p>On the next slide we will ask you to define your <b>musical experience</b>. <p></p> <b>Non-musician</b> means you don't regularly play an instrument. <p></p> <b>Amateur musician</b> means you regularly play an instrument as a hobby, but you do not get paid. <p></p> <b>Music student</b> means you are engaged in formal music education. <p></p> <b>Semi-professional musician</b> means you get paid to play, but it is not your primary source of income. <p></p> <b>Professional musican</b> means that playing music is your primary source of income.  </p>;0;instruction2;;;;;
true;fullscreen;0;5178;0.0-0.0;10;1;2023-07-28 12:44:54;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";Macintosh;Firefox;114.0;OS X;10.15;;;;;;;;;
;html-button-response;1;6179;0.0-1.0;10;1;2023-07-28 12:44:54;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";Macintosh;Firefox;114.0;OS X;10.15;997;Welcome to the experiment;0;;;;;;
;html-button-response;2;15213;0.0-2.0;10;1;2023-07-28 12:44:54;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";Macintosh;Firefox;114.0;OS X;10.15;9030;"<p>In this experiment, you will hear 6 excerpts of varying rhythmic complexity.</p>
        <p> At the end of each track, you must rate the level of your enjoyment.</p>";0;instruction;;;;;
true;preload;3;15216;0.0-3.0;10;1;2023-07-28 12:44:54;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";Macintosh;Firefox;114.0;OS X;10.15;;;;;false;[];[];[];
;audio-slider-response;4;29045;0.0-4.0-0.0;10;1;2023-07-28 12:44:54;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";Macintosh;Firefox;114.0;OS X;10.15;13665;high_complex_1.wav;23;audio_slider;;;;;50
;audio-slider-response;5;39397;0.0-4.0-0.1;10;1;2023-07-28 12:44:54;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";Macintosh;Firefox;114.0;OS X;10.15;10194;high_complex_2.wav;23;audio_slider;;;;;50
;audio-slider-response;6;51253;0.0-4.0-0.2;10;1;2023-07-28 12:44:54;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";Macintosh;Firefox;114.0;OS X;10.15;11726;low_complex_2.wav;17;audio_slider;;;;;50
;audio-slider-response;7;61343;0.0-4.0-0.3;10;1;2023-07-28 12:44:54;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";Macintosh;Firefox;114.0;OS X;10.15;9927;low_complex_1.wav;57;audio_slider;;;;;50
;audio-slider-response;8;70673;0.0-4.0-0.4;10;1;2023-07-28 12:44:54;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";Macintosh;Firefox;114.0;OS X;10.15;9195;mid_complex_2.wav;69;audio_slider;;;;;50
;audio-slider-response;9;80455;0.0-4.0-0.5;10;1;2023-07-28 12:44:54;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";Macintosh;Firefox;114.0;OS X;10.15;9660;mid_complex_1.wav;69;audio_slider;;;;;50
;html-button-response;10;98341;0.0-5.0;10;1;2023-07-28 12:44:54;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";Macintosh;Firefox;114.0;OS X;10.15;17884;<p>On the next slide we will ask you to define your <b>musical experience</b>. <p></p> <b>Non-musician</b> means you don't regularly play an instrument. <p></p> <b>Amateur musician</b> means you regularly play an instrument as a hobby, but you do not get paid. <p></p> <b>Music student</b> means you are engaged in formal music education. <p></p> <b>Semi-professional musician</b> means you get paid to play, but it is not your primary source of income. <p></p> <b>Professional musican</b> means that playing music is your primary source of income.  </p>;0;instruction2;;;;;
